First Name,Last Name,Team Name,Team Nickname,Aggression,Bravery,Determination,Teamplayer,Leadership,Temperament,Professionalism,Mental Toughness,Goalie Stamina,Acceleration,Agility,Balance,Speed,Stamina,Strength,Fighting,Screening,Getting Open,Passing,Puck Handling,Shooting Accuracy,Shooting Range,Offensive Read,Checking,Faceoffs,Hitting,Positioning,Shot Blocking,Stickchecking,Defensive Read,G Positioning,G Passing,G Pokecheck,Blocker,Glove,Rebound,Recovery,G Puckhandling,Low Shots,G Skating,Reflexes,TPE
C.J.,Suess,Manitoba,Moose,6,13,0,0,0,0,0,1,1,13,14,14,13,14,13,7,13,14,13,15,15,7,15,14,10,13,12,7,13,12,1,1,1,1,1,1,1,1,1,1,1,743
Joona,Luoto,Manitoba,Moose,7,14,0,0,0,0,0,1,1,13,14,15,13,14,14,7,14,13,11,13,14,6,13,14,10,14,13,7,15,15,1,1,1,1,1,1,1,1,1,1,1,788
Logan,Stanley,Manitoba,Moose,12,14,0,0,0,0,0,1,1,11,11,15,13,12,16,11,10,13,13,11,7,15,13,14,6,16,13,10,16,12,1,1,1,1,1,1,1,1,1,1,1,800
Jansen,Harkins,Manitoba,Moose,9,14,0,0,0,0,0,1,1,14,13,14,14,13,14,8,13,12,15,14,14,6,14,12,12,13,15,8,13,14,1,1,1,1,1,1,1,1,1,1,1,794
Skyler,McKenzie,Manitoba,Moose,8,13,0,0,0,0,0,1,1,14,14,12,15,13,10,7,10,14,14,14,14,7,14,12,11,12,14,7,10,13,1,1,1,1,1,1,1,1,1,1,1,665
Luke,Green,Manitoba,Moose,8,13,0,0,0,0,0,1,1,16,14,11,15,13,12,7,7,13,14,14,7,15,13,12,7,12,14,11,13,14,1,1,1,1,1,1,1,1,1,1,1,722
Kristian,Reichel,Manitoba,Moose,10,13,0,0,0,0,0,1,1,14,13,13,13,12,11,6,13,12,13,12,13,5,13,11,13,10,12,6,12,12,1,1,1,1,1,1,1,1,1,1,1,535
Mikhail,Berdin,Manitoba,Moose,7,1,0,0,0,0,0,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,11,13,13,12,14,14,12,13,12,13,400
Kristian,Vesalainen,Manitoba,Moose,6,14,0,0,0,0,0,1,1,14,13,14,14,13,14,7,14,13,15,15,15,7,14,13,8,12,12,6,12,11,1,1,1,1,1,1,1,1,1,1,1,741
Leon,Gawanke,Manitoba,Moose,6,8,0,0,0,0,0,1,1,13,13,13,14,13,13,6,6,15,15,13,10,16,14,12,6,10,13,11,14,12,1,1,1,1,1,1,1,1,1,1,1,670
Steven,Kampfer,Providence,Bruins,10,14,0,0,0,0,0,1,1,13,14,15,13,14,15,8,9,12,11,14,6,16,10,14,8,16,14,14,13,14,1,1,1,1,1,1,1,1,1,1,1,847
Chris,Breen,Providence,Bruins,12,13,0,0,0,0,0,1,1,11,10,14,11,12,17,9,8,8,11,11,6,14,10,13,6,14,13,13,16,13,1,1,1,1,1,1,1,1,1,1,1,650
Brendan,Gaunce,Providence,Bruins,9,13,0,0,0,0,0,1,1,13,12,14,13,13,15,7,15,13,13,12,14,5,12,15,14,16,15,7,13,14,1,1,1,1,1,1,1,1,1,1,1,829
Brett,Ritchie,Providence,Bruins,13,15,0,0,0,0,0,1,1,12,11,16,13,12,16,12,16,16,12,13,14,5,12,16,7,18,15,7,14,15,1,1,1,1,1,1,1,1,1,1,1,1103
Alex,Petrovic,Providence,Bruins,13,14,0,0,0,0,0,1,1,12,14,15,12,13,16,11,8,11,13,13,5,15,10,14,7,17,14,14,16,15,1,1,1,1,1,1,1,1,1,1,1,932
Maxime,Lagacé,Providence,Bruins,8,1,0,0,0,0,0,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,14,13,14,15,11,14,13,12,15,546
Paul,Carey,Providence,Bruins,8,13,0,0,0,0,0,1,1,14,14,14,14,12,14,6,14,12,13,14,14,6,13,13,12,15,14,7,12,15,1,1,1,1,1,1,1,1,1,1,1,779
Josiah,Didier,Providence,Bruins,11,13,0,0,0,0,0,1,1,11,10,14,12,12,14,8,7,8,10,11,6,13,10,14,6,12,14,13,15,13,1,1,1,1,1,1,1,1,1,1,1,543
Brendan,Woods,Providence,Bruins,13,15,0,0,0,0,0,1,1,13,11,14,14,11,15,9,14,12,12,12,12,5,12,15,12,15,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,748
Pavel,Shen,Providence,Bruins,7,12,0,0,0,0,0,1,1,14,13,14,13,14,12,6,12,14,14,15,15,6,15,12,11,12,10,6,11,13,1,1,1,1,1,1,1,1,1,1,1,685
Cameron,Hughes,Providence,Bruins,8,14,0,0,0,0,0,1,1,15,15,12,14,14,11,7,12,14,14,14,14,6,13,12,14,13,15,8,12,13,1,1,1,1,1,1,1,1,1,1,1,781
Jérémy,Lauzon,Providence,Bruins,10,11,0,0,0,0,0,1,1,15,14,12,15,13,15,8,8,11,15,15,6,16,14,14,7,13,14,11,12,13,1,1,1,1,1,1,1,1,1,1,1,799
Zach,Senyshyn,Providence,Bruins,6,15,0,0,0,0,0,1,1,16,14,13,16,14,14,6,14,14,13,15,14,7,14,11,10,11,12,6,12,12,1,1,1,1,1,1,1,1,1,1,1,811
Peter,Cehlárik,Providence,Bruins,6,12,0,0,0,0,0,1,1,14,13,15,14,14,15,6,14,13,14,14,14,8,15,13,10,11,11,7,14,13,1,1,1,1,1,1,1,1,1,1,1,765
Ryan,Fitzgerald,Providence,Bruins,8,15,0,0,0,0,0,1,1,15,15,12,15,14,13,9,12,13,14,13,14,7,13,13,13,14,13,7,10,13,1,1,1,1,1,1,1,1,1,1,1,765
Wiley,Sherman,Providence,Bruins,8,13,0,0,0,0,0,1,1,11,12,16,13,14,15,9,10,10,13,12,7,14,10,14,7,14,13,13,16,15,1,1,1,1,1,1,1,1,1,1,1,757
Anton,Blidh,Providence,Bruins,10,13,0,0,0,0,0,1,1,14,15,13,14,12,15,7,14,11,13,13,15,5,13,14,9,16,14,7,14,14,1,1,1,1,1,1,1,1,1,1,1,823
Oskar,Steen,Providence,Bruins,9,13,0,0,0,0,0,1,1,15,14,12,14,14,13,7,12,13,13,15,14,6,14,13,14,14,12,8,13,12,1,1,1,1,1,1,1,1,1,1,1,754
Anders,Bjork,Providence,Bruins,6,14,0,0,0,0,0,1,1,14,14,14,14,14,13,6,13,13,14,15,14,7,15,13,11,12,13,7,13,13,1,1,1,1,1,1,1,1,1,1,1,770
Urho,Vaakanainen,Providence,Bruins,6,13,0,0,0,0,0,1,1,15,14,14,14,14,13,6,6,11,14,14,8,15,11,14,6,12,13,14,13,15,1,1,1,1,1,1,1,1,1,1,1,754
Trent,Frederic,Providence,Bruins,10,14,0,0,0,0,0,1,1,14,14,13,15,12,14,9,14,14,13,13,14,7,13,13,13,13,12,7,12,12,1,1,1,1,1,1,1,1,1,1,1,732
Jack,Studnicka,Providence,Bruins,10,13,0,0,0,0,0,1,1,14,13,14,15,14,13,6,13,14,15,15,14,7,14,12,13,11,13,6,13,13,1,1,1,1,1,1,1,1,1,1,1,779
Jakub,Zboril,Providence,Bruins,8,13,0,0,0,0,0,1,1,15,13,13,16,13,15,8,7,12,14,15,7,15,11,14,7,13,13,13,13,12,1,1,1,1,1,1,1,1,1,1,1,763
Dan,Vladar,Providence,Bruins,8,1,0,0,0,0,0,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,12,12,13,13,14,15,12,13,12,15,447
Joona,Koppanen,Providence,Bruins,6,11,0,0,0,0,0,1,1,13,12,14,14,13,12,6,16,11,12,13,14,5,12,14,14,13,14,8,16,13,1,1,1,1,1,1,1,1,1,1,1,750
Jakub,Lauko,Providence,Bruins,9,13,0,0,0,0,0,1,1,16,15,12,14,13,13,6,12,12,12,13,15,5,12,14,12,13,12,8,13,13,1,1,1,1,1,1,1,1,1,1,1,708
Cooper,Zech,Providence,Bruins,8,10,0,0,0,0,0,1,1,14,15,12,13,14,10,5,4,11,14,15,8,15,14,11,5,9,13,11,12,13,1,1,1,1,1,1,1,1,1,1,1,602
Jacob,Bryson,Rochester,Americans,6,13,0,0,0,0,0,1,1,14,13,13,13,13,11,6,6,11,14,14,6,15,12,13,6,11,15,15,12,15,1,1,1,1,1,1,1,1,1,1,1,682
Nathan,Paetsch,Rochester,Americans,9,13,0,0,0,0,0,1,1,14,13,12,15,12,12,6,9,11,14,15,10,13,14,12,7,11,14,11,13,13,1,1,1,1,1,1,1,1,1,1,1,642
Kevin,Porter,Rochester,Americans,8,15,0,0,0,0,0,1,1,13,13,12,13,11,13,8,13,13,12,12,13,7,13,14,14,15,15,8,13,14,1,1,1,1,1,1,1,1,1,1,1,717
Tyler,Randell,Rochester,Americans,19,15,0,0,0,0,0,1,1,12,12,15,12,11,16,15,14,11,10,12,13,7,11,14,7,16,13,7,14,13,1,1,1,1,1,1,1,1,1,1,1,950
Zach,Redmond,Rochester,Americans,8,10,0,0,0,0,0,1,1,13,13,15,14,12,14,7,8,12,14,14,7,15,14,13,6,13,13,12,14,14,1,1,1,1,1,1,1,1,1,1,1,709
Dalton,Smith,Rochester,Americans,15,16,0,0,0,0,0,1,1,12,12,14,13,13,16,12,15,10,12,12,12,5,11,15,10,16,14,9,13,14,1,1,1,1,1,1,1,1,1,1,1,872
Curtis,Lazar,Rochester,Americans,9,14,0,0,0,0,0,1,1,13,14,14,13,13,14,8,13,14,14,14,12,5,11,15,10,17,14,8,13,14,1,1,1,1,1,1,1,1,1,1,1,822
Taylor,Leier,Rochester,Americans,8,14,0,0,0,0,0,1,1,15,14,11,14,14,13,6,12,12,13,15,15,7,14,14,9,12,14,8,14,14,1,1,1,1,1,1,1,1,1,1,1,778
Jean-Sébastien,Dea,Rochester,Americans,9,13,0,0,0,0,0,1,1,14,15,12,14,12,12,8,12,14,12,15,15,7,13,13,15,15,15,8,12,14,1,1,1,1,1,1,1,1,1,1,1,816
Jarrett,Burton,Rochester,Americans,11,13,0,0,0,0,0,1,1,12,12,13,12,11,13,8,13,13,15,14,13,6,13,13,13,10,13,7,12,13,1,1,1,1,1,1,1,1,1,1,1,607
Scott,Wilson,Rochester,Americans,6,14,0,0,0,0,0,1,1,14,14,13,14,13,14,6,14,15,13,14,13,6,12,14,10,16,14,7,14,14,1,1,1,1,1,1,1,1,1,1,1,834
Casey,Nelson,Rochester,Americans,6,14,0,0,0,0,0,1,1,14,14,14,14,15,13,7,8,12,13,14,7,15,13,15,7,13,14,13,15,15,1,1,1,1,1,1,1,1,1,1,1,834
C.J.,Smith,Rochester,Americans,7,14,0,0,0,0,0,1,1,16,14,11,14,12,14,8,12,14,14,15,15,8,14,14,9,14,12,7,12,14,1,1,1,1,1,1,1,1,1,1,1,811
John,Gilmour,Rochester,Americans,8,13,0,0,0,0,0,1,1,14,13,14,13,15,13,6,8,14,14,15,8,16,14,13,7,13,12,13,12,12,1,1,1,1,1,1,1,1,1,1,1,757
Andrew,Oglevie,Rochester,Americans,6,13,0,0,0,0,0,1,1,14,14,14,15,14,12,6,12,14,14,14,14,6,14,11,14,11,13,6,11,13,1,1,1,1,1,1,1,1,1,1,1,728
Andrew,MacWilliam,Rochester,Americans,15,16,0,0,0,0,0,1,1,12,11,14,11,13,15,14,8,9,11,12,7,14,10,15,7,16,12,12,14,13,1,1,1,1,1,1,1,1,1,1,1,781
Remi,Elie,Rochester,Americans,7,14,0,0,0,0,0,1,1,14,15,14,14,12,15,6,12,13,13,14,14,6,13,14,8,16,13,7,13,14,1,1,1,1,1,1,1,1,1,1,1,805
Andrew,Hammond,Rochester,Americans,8,1,0,0,0,0,0,15,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,14,13,14,13,15,14,13,14,12,14,577
Jonas,Johansson,Rochester,Americans,8,1,0,0,0,0,0,13,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,14,14,14,15,14,11,11,14,12,477
Lawrence,Pilut,Rochester,Americans,7,14,0,0,0,0,0,1,1,16,15,14,15,15,11,6,7,11,13,14,5,15,12,15,7,12,14,13,14,15,1,1,1,1,1,1,1,1,1,1,1,845
Eric,Cornel,Rochester,Americans,8,13,0,0,0,0,0,1,1,15,12,14,15,13,14,6,14,13,13,13,13,5,12,13,12,13,13,7,14,14,1,1,1,1,1,1,1,1,1,1,1,726
Will,Borgen,Rochester,Americans,9,14,0,0,0,0,0,1,1,14,14,12,14,14,14,8,7,10,14,14,6,16,10,13,7,14,13,13,15,13,1,1,1,1,1,1,1,1,1,1,1,761
Sean,Malone,Rochester,Americans,7,13,0,0,0,0,0,1,1,14,14,13,14,13,13,7,13,13,13,14,13,6,13,12,14,12,15,7,13,14,1,1,1,1,1,1,1,1,1,1,1,719
Rasmus,Asplund,Rochester,Americans,7,11,0,0,0,0,0,1,1,16,15,13,15,13,12,6,11,12,14,14,14,5,13,13,14,11,14,8,12,14,1,1,1,1,1,1,1,1,1,1,1,748
Brandon,Hickey,Rochester,Americans,8,13,0,0,0,0,0,1,1,14,14,15,14,14,14,9,7,11,14,12,7,15,12,14,7,14,13,13,14,11,1,1,1,1,1,1,1,1,1,1,1,739
Brett,Murray,Rochester,Americans,11,14,0,0,0,0,0,1,1,12,12,13,13,12,14,8,10,13,13,13,13,6,14,11,11,11,13,7,12,11,1,1,1,1,1,1,1,1,1,1,1,559
Casey,Fitzgerald,Rochester,Americans,9,13,0,0,0,0,0,1,1,15,14,12,15,13,13,8,7,11,14,14,7,16,12,15,6,15,13,13,12,13,1,1,1,1,1,1,1,1,1,1,1,771
Tage,Thompson,Rochester,Americans,9,15,0,0,0,0,0,1,1,13,13,15,13,12,16,6,16,15,13,13,14,5,12,13,10,13,13,6,14,13,1,1,1,1,1,1,1,1,1,1,1,809
Ukko-Pekka,Luukkonen,Rochester,Americans,8,1,0,0,0,0,0,15,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,14,13,14,15,12,14,12,12,14,546
Casey,Mittelstadt,Rochester,Americans,6,15,0,0,0,0,0,1,1,15,16,16,15,14,15,6,15,15,15,17,16,6,15,12,11,11,15,6,15,15,1,1,1,1,1,1,1,1,1,1,1,1162
Zac,Rinaldo,Stockton,Heat,11,18,0,0,0,0,0,1,1,13,13,15,14,13,16,15,15,13,12,13,14,6,11,13,8,18,13,8,13,13,1,1,1,1,1,1,1,1,1,1,1,1024
Byron,Froese,Stockton,Heat,9,15,0,0,0,0,0,1,1,13,12,13,13,13,14,8,14,13,14,14,13,5,12,14,12,14,14,9,14,14,1,1,1,1,1,1,1,1,1,1,1,765
Zach,Leslie,Stockton,Heat,8,12,0,0,0,0,0,1,1,15,15,13,14,14,12,7,7,12,14,15,6,15,13,14,6,12,14,13,14,14,1,1,1,1,1,1,1,1,1,1,1,779
Alan,Quine,Stockton,Heat,7,13,0,0,0,0,0,1,1,13,15,15,15,15,15,6,13,13,14,14,14,6,13,13,9,15,14,7,12,12,1,1,1,1,1,1,1,1,1,1,1,812
Brandon,Davidson,Stockton,Heat,7,13,0,0,0,0,0,1,1,11,12,14,14,14,15,8,8,12,11,13,8,15,11,16,6,16,15,16,13,15,1,1,1,1,1,1,1,1,1,1,1,857
Alex,Gallant,Stockton,Heat,18,16,0,0,0,0,0,1,1,12,10,15,12,11,15,18,15,9,9,10,12,4,10,14,11,17,11,7,12,12,1,1,1,1,1,1,1,1,1,1,1,951
Jonathan,Racine,Stockton,Heat,16,14,0,0,0,0,0,1,1,12,11,13,13,11,12,14,7,9,11,12,7,14,10,14,7,14,13,13,14,13,1,1,1,1,1,1,1,1,1,1,1,672
Matt,Gaudreau,Stockton,Heat,6,12,0,0,0,0,0,1,1,14,14,12,13,13,10,5,11,13,13,14,14,5,13,11,9,9,13,7,13,12,1,1,1,1,1,1,1,1,1,1,1,542
Jon,Gillies,Stockton,Heat,8,1,0,0,0,0,0,13,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,15,14,15,13,14,13,11,12,14,546
Ryan,Lomberg,Stockton,Heat,16,15,0,0,0,0,0,1,1,16,12,12,16,11,15,16,13,14,13,14,14,6,12,14,10,16,13,7,12,13,1,1,1,1,1,1,1,1,1,1,1,1001
Rob,Hamilton,Stockton,Heat,13,14,0,0,0,0,0,1,1,11,10,13,12,13,13,9,7,9,14,14,8,15,12,13,5,13,12,13,13,11,1,1,1,1,1,1,1,1,1,1,1,592
Luke,Philp,Stockton,Heat,8,10,0,0,0,0,0,1,1,14,14,13,13,14,11,6,12,13,14,15,14,6,15,12,14,11,12,7,12,13,1,1,1,1,1,1,1,1,1,1,1,681
Corey,Schueneman,Stockton,Heat,10,13,0,0,0,0,0,1,1,12,11,13,13,13,12,7,6,10,14,15,8,14,14,12,5,13,13,12,14,12,1,1,1,1,1,1,1,1,1,1,1,607
Rinat,Valiev,Stockton,Heat,10,13,0,0,0,0,0,1,1,14,13,14,14,14,15,8,8,11,14,14,7,16,13,14,7,15,13,12,15,13,1,1,1,1,1,1,1,1,1,1,1,825
Austin,Czarnik,Stockton,Heat,6,13,0,0,0,0,0,1,1,14,16,14,14,13,11,6,11,13,16,16,14,7,15,14,13,11,15,7,12,15,1,1,1,1,1,1,1,1,1,1,1,888
Buddy,Robinson,Stockton,Heat,10,15,0,0,0,0,0,1,1,11,12,16,12,13,17,8,17,14,14,12,15,6,14,14,7,16,12,6,16,11,1,1,1,1,1,1,1,1,1,1,1,976
Sam,Kurker,Stockton,Heat,13,14,0,0,0,0,0,1,1,11,10,14,11,12,14,12,13,12,13,12,14,6,12,13,7,13,13,8,13,12,1,1,1,1,1,1,1,1,1,1,1,606
Dillon,Dubé,Stockton,Heat,7,14,0,0,0,0,0,1,1,15,15,14,16,15,13,6,12,13,14,14,14,7,14,12,13,13,11,7,13,13,1,1,1,1,1,1,1,1,1,1,1,818
