{'first_name': 'Cameron', 'last_name': 'Gaunce', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 12, 'Bravery': 15, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 13, 'Balance': 15, 'Speed': 14, 'Stamina': 14, 'Strength': 15, 'Fighting': 9, 'Screening': 8, 'Getting Open': 12, 'Passing': 14, 'Puck Handling': 13, 'Shooting Accuracy': 8, 'Shooting Range': 13, 'Offensive Read': 12, 'Checking': 15, 'Faceoffs': 6, 'Hitting': 15, 'Positioning': 12, 'Shot Blocking': 13, 'Stickchecking': 15, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 816}
{'first_name': 'Alex', 'last_name': 'Barré-Boulet', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 6, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 15, 'Agility': 15, 'Balance': 13, 'Speed': 13, 'Stamina': 13, 'Strength': 11, 'Fighting': 6, 'Screening': 11, 'Getting Open': 15, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 15, 'Shooting Range': 7, 'Offensive Read': 15, 'Checking': 11, 'Faceoffs': 12, 'Hitting': 11, 'Positioning': 12, 'Shot Blocking': 6, 'Stickchecking': 11, 'Defensive Read': 14, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 712}
{'first_name': 'Mathieu', 'last_name': 'Joseph', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 8, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 17, 'Agility': 13, 'Balance': 13, 'Speed': 18, 'Stamina': 15, 'Strength': 13, 'Fighting': 6, 'Screening': 13, 'Getting Open': 15, 'Passing': 14, 'Puck Handling': 15, 'Shooting Accuracy': 16, 'Shooting Range': 8, 'Offensive Read': 15, 'Checking': 14, 'Faceoffs': 10, 'Hitting': 16, 'Positioning': 15, 'Shot Blocking': 7, 'Stickchecking': 13, 'Defensive Read': 15, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 1133}
{'first_name': 'Mitchell', 'last_name': 'Stephens', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 7, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 12, 'Balance': 14, 'Speed': 15, 'Stamina': 13, 'Strength': 14, 'Fighting': 6, 'Screening': 14, 'Getting Open': 14, 'Passing': 13, 'Puck Handling': 13, 'Shooting Accuracy': 15, 'Shooting Range': 6, 'Offensive Read': 12, 'Checking': 14, 'Faceoffs': 13, 'Hitting': 13, 'Positioning': 12, 'Shot Blocking': 7, 'Stickchecking': 13, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 717}
{'first_name': 'Daniel', 'last_name': 'Walcott', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 12, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 15, 'Agility': 14, 'Balance': 13, 'Speed': 14, 'Stamina': 13, 'Strength': 12, 'Fighting': 8, 'Screening': 7, 'Getting Open': 11, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 8, 'Shooting Range': 13, 'Offensive Read': 14, 'Checking': 13, 'Faceoffs': 7, 'Hitting': 13, 'Positioning': 14, 'Shot Blocking': 14, 'Stickchecking': 12, 'Defensive Read': 15, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 745}
{'first_name': 'Ben', 'last_name': 'Thomas', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 7, 'Bravery': 11, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 15, 'Agility': 14, 'Balance': 13, 'Speed': 15, 'Stamina': 13, 'Strength': 13, 'Fighting': 8, 'Screening': 7, 'Getting Open': 13, 'Passing': 14, 'Puck Handling': 15, 'Shooting Accuracy': 7, 'Shooting Range': 15, 'Offensive Read': 13, 'Checking': 14, 'Faceoffs': 7, 'Hitting': 13, 'Positioning': 14, 'Shot Blocking': 12, 'Stickchecking': 13, 'Defensive Read': 14, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 759}
{'first_name': 'Cal', 'last_name': 'Foote', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 8, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 14, 'Agility': 11, 'Balance': 13, 'Speed': 15, 'Stamina': 13, 'Strength': 15, 'Fighting': 8, 'Screening': 8, 'Getting Open': 14, 'Passing': 14, 'Puck Handling': 15, 'Shooting Accuracy': 8, 'Shooting Range': 15, 'Offensive Read': 13, 'Checking': 13, 'Faceoffs': 6, 'Hitting': 15, 'Positioning': 13, 'Shot Blocking': 11, 'Stickchecking': 14, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 778}
{'first_name': 'Alexander', 'last_name': 'Volkov', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 9, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 15, 'Agility': 15, 'Balance': 12, 'Speed': 15, 'Stamina': 14, 'Strength': 13, 'Fighting': 7, 'Screening': 13, 'Getting Open': 15, 'Passing': 14, 'Puck Handling': 15, 'Shooting Accuracy': 15, 'Shooting Range': 7, 'Offensive Read': 14, 'Checking': 11, 'Faceoffs': 9, 'Hitting': 12, 'Positioning': 14, 'Shot Blocking': 7, 'Stickchecking': 12, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 809}
{'first_name': 'Otto', 'last_name': 'Somppi', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 6, 'Bravery': 11, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 14, 'Agility': 14, 'Balance': 12, 'Speed': 14, 'Stamina': 12, 'Strength': 13, 'Fighting': 6, 'Screening': 13, 'Getting Open': 13, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 13, 'Shooting Range': 6, 'Offensive Read': 13, 'Checking': 13, 'Faceoffs': 13, 'Hitting': 10, 'Positioning': 13, 'Shot Blocking': 6, 'Stickchecking': 12, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 618}
{'first_name': 'Taylor', 'last_name': 'Raddysh', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 8, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 11, 'Agility': 11, 'Balance': 14, 'Speed': 13, 'Stamina': 13, 'Strength': 15, 'Fighting': 7, 'Screening': 15, 'Getting Open': 14, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 15, 'Shooting Range': 7, 'Offensive Read': 15, 'Checking': 13, 'Faceoffs': 10, 'Hitting': 13, 'Positioning': 12, 'Shot Blocking': 6, 'Stickchecking': 13, 'Defensive Read': 11, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 720}
{'first_name': 'Boris', 'last_name': 'Katchouk', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 9, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 12, 'Agility': 11, 'Balance': 14, 'Speed': 13, 'Stamina': 12, 'Strength': 13, 'Fighting': 9, 'Screening': 14, 'Getting Open': 14, 'Passing': 13, 'Puck Handling': 13, 'Shooting Accuracy': 14, 'Shooting Range': 7, 'Offensive Read': 13, 'Checking': 14, 'Faceoffs': 10, 'Hitting': 15, 'Positioning': 13, 'Shot Blocking': 7, 'Stickchecking': 13, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 691}
{'first_name': 'Devante', 'last_name': 'Stephens', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 10, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 14, 'Agility': 14, 'Balance': 14, 'Speed': 14, 'Stamina': 14, 'Strength': 13, 'Fighting': 7, 'Screening': 7, 'Getting Open': 10, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 6, 'Shooting Range': 15, 'Offensive Read': 12, 'Checking': 12, 'Faceoffs': 6, 'Hitting': 12, 'Positioning': 11, 'Shot Blocking': 13, 'Stickchecking': 12, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 651}
{'first_name': 'Dennis', 'last_name': 'Yan', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 9, 'Bravery': 11, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 15, 'Agility': 15, 'Balance': 13, 'Speed': 15, 'Stamina': 15, 'Strength': 14, 'Fighting': 8, 'Screening': 13, 'Getting Open': 14, 'Passing': 13, 'Puck Handling': 15, 'Shooting Accuracy': 15, 'Shooting Range': 7, 'Offensive Read': 14, 'Checking': 13, 'Faceoffs': 10, 'Hitting': 13, 'Positioning': 11, 'Shot Blocking': 6, 'Stickchecking': 12, 'Defensive Read': 11, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 769}
{'first_name': 'Oleg', 'last_name': 'Sosunov', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 8, 'Bravery': 14, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 10, 'Agility': 10, 'Balance': 15, 'Speed': 13, 'Stamina': 13, 'Strength': 16, 'Fighting': 8, 'Screening': 10, 'Getting Open': 11, 'Passing': 13, 'Puck Handling': 12, 'Shooting Accuracy': 7, 'Shooting Range': 15, 'Offensive Read': 12, 'Checking': 15, 'Faceoffs': 6, 'Hitting': 16, 'Positioning': 13, 'Shot Blocking': 10, 'Stickchecking': 16, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 765}
{'first_name': 'Ross', 'last_name': 'Colton', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 8, 'Bravery': 11, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 13, 'Agility': 12, 'Balance': 14, 'Speed': 13, 'Stamina': 13, 'Strength': 14, 'Fighting': 8, 'Screening': 14, 'Getting Open': 14, 'Passing': 12, 'Puck Handling': 14, 'Shooting Accuracy': 14, 'Shooting Range': 7, 'Offensive Read': 14, 'Checking': 13, 'Faceoffs': 13, 'Hitting': 14, 'Positioning': 13, 'Shot Blocking': 7, 'Stickchecking': 13, 'Defensive Read': 12, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 700}
{'first_name': 'Jimmy', 'last_name': 'Huntington', 'Team Name': 'Syracuse', 'Team Nickname': 'Crunch', 'Aggression': 8, 'Bravery': 13, 'Determination': 0, 'Teamplayer': 0, 'Leadership': 0, 'Temperament': 0, 'Professionalism': 0, 'Mental Toughness': 1, 'Goalie Stamina': 1, 'Acceleration': 14, 'Agility': 12, 'Balance': 13, 'Speed': 14, 'Stamina': 13, 'Strength': 13, 'Fighting': 6, 'Screening': 13, 'Getting Open': 14, 'Passing': 14, 'Puck Handling': 14, 'Shooting Accuracy': 15, 'Shooting Range': 6, 'Offensive Read': 15, 'Checking': 10, 'Faceoffs': 13, 'Hitting': 12, 'Positioning': 11, 'Shot Blocking': 7, 'Stickchecking': 13, 'Defensive Read': 13, 'G Positioning': 1, 'G Passing': 1, 'G Pokecheck': 1, 'Blocker': 1, 'Glove': 1, 'Rebound': 1, 'Recovery': 1, 'G Puckhandling': 1, 'Low Shots': 1, 'G Skating': 1, 'Reflexes': 1, 'TPE': 698}
